label,apple ID,variety,repetition,area (mm2),r,g,b
A,0,B231,1,95.8741719553,191.2469572431,169.8918361332,59.3218390805
A,0,B231,2,125.7894681985,194.2784353577,171.1163069644,79.2730210824
A,1,B231,1,123.5280567803,190.1203286779,158.026050014,53.9335436329
A,1,B231,2,112.1988816002,197.4123543907,170.4168533453,74.1396916069
A,2,B231,1,132.8276093914,184.7815758341,161.6795409733,56.7852512028
A,2,B231,2,133.9928886279,187.9590418338,158.6139659607,62.8905410793
A,3,B231,1,91.4638930404,203.4850003432,193.5653188714,92.0527791126
A,3,B231,2,123.6406740584,195.2982624174,170.7702152907,64.3619172741
A,4,B231,1,152.5524703866,187.4390114837,162.2876139948,58.5661908722
A,4,B231,2,98.0381355442,190.9535899215,165.3075428388,66.2099076496
A,5,B231,1,141.8690040723,197.782716159,165.6693159281,55.350087322
A,5,B231,2,133.271282529,202.6121442693,167.7008042093,68.6207613601
A,6,B231,1,142.9541723984,186.8841305753,163.0628342246,59.7532908268
A,6,B231,2,150.5839832938,195.8036402943,171.169943164,71.7976916908
A,7,B231,1,139.4229738981,188.0420817989,158.439147821,54.8964372049
A,7,B231,2,128.4186061738,186.9135978957,153.7631355378,63.0918834139
A,8,B231,1,118.3527811612,192.0621975646,171.378556109,75.2154758318
A,8,B231,2,155.8601299229,205.0028167875,175.7195746516,77.5905550015
A,9,B231,1,105.2117540207,185.903227094,159.1261500389,55.9515337178
A,9,B231,2,128.7013370603,197.0958669322,162.1446736966,62.1512928079
A,10,B231,1,56.401459467,186.5596315001,171.6563257302,73.81944984
A,10,B231,2,59.3098774167,190.5815772782,167.8226971598,70.3448269786
A,11,B231,1,58.39789253,197.9090876495,187.5282633249,85.2882088241
A,11,B231,2,63.1487729959,191.9924004845,178.3119285845,86.9619194584
A,12,B231,1,60.1261287173,188.1869358794,173.4147058312,74.2896471366
A,12,B231,2,68.9879440478,198.2138004246,177.0003336366,79.5555656658
A,13,B231,1,54.7844602755,179.8281908905,155.0498406701,63.9429847158
A,13,B231,2,57.9961343969,194.5715805416,169.9067649922,83.0211856767
A,14,B231,1,48.4771944722,193.1020716444,185.1557833405,84.3298014674
A,14,B231,2,88.3721296792,198.5980093705,179.2291126596,80.9912716722
A,15,B231,1,71.7524255105,191.5957546138,171.0355241083,71.0299803049
A,15,B231,2,71.6225272393,191.215059422,160.2352029704,71.9425514187
A,16,B231,1,62.7630768695,186.6684429642,167.8549708576,68.0593838468
A,16,B231,2,70.7233853291,192.2289766671,177.327253346,78.0860772237
A,17,B231,1,64.0016461294,183.1481082141,167.142145331,70.4471508854
A,17,B231,2,54.2493359976,192.68386898,182.2863607479,92.6050721149
A,18,B231,1,35.6515216715,183.5495681508,173.2072294763,75.7368191468
A,18,B231,2,76.5359605365,196.7980987243,179.0212254487,86.280724998
A,19,B231,1,84.1231020097,197.870397332,188.7599208571,94.3700053509
A,19,B231,2,66.4438896798,196.2790203851,186.1936737134,94.2005001888
B,0,HL 15A/98,1,162.4398501268,197.1537328126,182.2679110462,79.4120078496
B,0,HL 15A/98,2,174.903238505,203.263191997,179.0674284538,84.2431178772
B,1,HL 15A/98,1,142.7027143735,190.5310633125,162.0268607599,68.5171956299
B,1,HL 15A/98,2,169.1056933521,215.777320788,194.6453383915,104.1205075716
B,2,HL 15A/98,1,171.5730667022,187.9921728375,158.098042594,63.5658632339
B,2,HL 15A/98,2,145.0155246957,200.4613767315,167.9209783494,75.3774371435
B,3,HL 15A/98,1,141.4244188086,196.800112225,172.7726544965,76.7750037408
B,3,HL 15A/98,2,150.2644426995,201.734767328,173.6954592516,80.5230136427
B,4,HL 15A/98,1,152.4885918114,181.5209722222,148.8690763889,63.4914236111
B,4,HL 15A/98,2,128.6571240364,190.9582424995,152.899974498,72.2095607894
B,5,HL 15A/98,1,143.2545738655,186.6201384481,155.7087127865,63.6653038332
B,5,HL 15A/98,2,139.9765284198,198.0010197453,166.6275059296,77.6080401251
B,6,HL 15A/98,1,148.0719922145,198.183024614,173.3360825481,78.228906166
B,6,HL 15A/98,2,168.6093308476,202.9009455342,170.1933183089,78.4522826279
B,7,HL 15A/98,1,185.4518373565,195.7743307509,174.8052740653,75.1714499398
B,7,HL 15A/98,2,139.7271718959,204.830174254,185.3252766718,83.1626042723
B,8,HL 15A/98,1,130.6637379299,192.605071966,175.8341266698,79.3952593766
B,8,HL 15A/98,2,133.4937558276,198.7158839167,179.0197243496,85.9873884423
B,9,HL 15A/98,1,139.98470084,193.0897258566,170.7141107911,76.0969365774
B,9,HL 15A/98,2,159.2460100586,196.3934189801,165.4830622811,76.5702199212
B,10,HL 15A/98,1,106.5272615421,193.2412127237,176.5082703777,83.7305069583
B,10,HL 15A/98,2,76.1183970002,201.5947623478,185.8981629338,99.7130955191
B,11,HL 15A/98,1,58.6185096543,190.1925165635,171.641052098,85.5935158032
B,11,HL 15A/98,2,55.1268156462,201.2728496433,176.9464069381,86.3250004807
B,12,HL 15A/98,1,62.7275759392,183.8674748886,160.1594492117,79.3873810949
B,12,HL 15A/98,2,77.2696302651,191.5794038454,161.5750876101,84.7095944904
B,13,HL 15A/98,1,59.4783175363,189.5904852221,167.8731889785,82.8480761463
B,13,HL 15A/98,2,77.7543535721,193.1533151216,166.8671394545,88.1721548627
B,14,HL 15A/98,1,50.6377911784,179.8214160713,153.4532334109,71.4659158757
B,14,HL 15A/98,2,68.5258487405,194.540222168,172.1740112305,82.7808685303
B,15,HL 15A/98,1,60.8679348699,187.5023501561,168.6416097712,76.4588808454
B,15,HL 15A/98,2,76.4264140196,185.1061402069,157.7669375581,75.3355223554
B,16,HL 15A/98,1,56.1823825225,194.8899955404,171.0713356623,75.3764122194
B,16,HL 15A/98,2,78.7573999205,193.5178085104,169.4601915694,78.2407503354
B,17,HL 15A/98,1,71.6432729603,179.5889632253,154.3628638477,62.9886454735
B,17,HL 15A/98,2,58.9038426504,197.3350459756,165.0984533069,89.0497670216
B,18,HL 15A/98,1,76.4932453707,190.1838504898,166.4580391835,77.3343047119
B,18,HL 15A/98,2,78.779713906,194.4094907777,167.6536038909,79.131903471
B,19,HL 15A/98,1,57.1530309355,181.6118852384,144.9142392753,65.2357141553
B,19,HL 15A/98,2,54.7631255508,197.7726450138,166.7983807982,88.4708448424
C,0,B299,1,124.4221503962,198.8480609173,183.6425915151,90.7296921248
C,0,B299,2,134.4068849721,204.5918257407,182.7674747238,86.1262364836
C,1,B299,1,118.7288597548,196.1274318038,167.3553517305,66.5157714809
C,1,B299,2,130.7277730121,201.409749966,167.8946462455,69.1014787475
C,2,B299,1,135.5810801871,202.4159622309,194.2353613871,87.5453259979
C,2,B299,2,117.4689088152,211.1725732719,199.1618353398,98.4204011798
C,3,B299,1,121.3128299118,191.1056738812,166.8228076227,57.2310080193
C,3,B299,2,122.2471392496,198.6523964396,170.3569411161,71.2396781924
C,4,B299,1,137.6221376254,197.9444896593,178.011812491,78.575472918
C,4,B299,2,125.6246719507,194.9291920395,163.9608640237,71.8508617745
C,5,B299,1,114.043354808,195.5547453958,164.8471824785,66.7169271407
C,5,B299,2,130.8660235285,202.517322438,169.9212594648,73.8030607105
C,6,B299,1,103.1908873306,192.5802522924,168.7041998075,69.5780130706
C,6,B299,2,119.7077262463,203.8929879621,184.4217188716,92.9812132285
C,7,B299,1,113.6641415769,193.2923820483,164.0987249712,65.2504764097
C,7,B299,2,124.5370597211,201.4067823675,172.7791822499,79.8157666933
C,8,B299,1,147.3581860692,192.8013994956,171.5428693212,78.8415728342
C,8,B299,2,123.0993382408,182.3734427845,147.7395944867,70.5494824861
C,9,B299,1,125.0921411836,192.3299969035,158.5905648219,54.624249931
C,9,B299,2,136.9790202274,197.0249457203,158.7457034953,59.0557857558
C,10,B299,1,65.8555343571,186.8473610033,164.9515906824,74.9543143993
C,10,B299,2,53.4207718391,194.3577525725,170.2080215154,88.4696562208
C,11,B299,1,39.364866986,200.4129665804,193.1116361333,115.3681695792
C,11,B299,2,51.2126373635,182.8272149199,162.1075310322,78.5893789489
C,12,B299,1,53.2353435926,187.5250219834,179.539482169,84.0392574499
C,12,B299,2,85.1201313991,204.8655729256,197.2077698972,106.7813949493
C,13,B299,1,59.2984695438,189.0622834936,159.8821853734,61.4995164325
C,13,B299,2,61.2874394818,200.4164767897,174.2450093522,81.8123788471
C,14,B299,1,82.5780693436,197.4254665453,188.6898042786,95.3261012492
C,14,B299,2,53.9582388861,202.9921965318,189.2260115607,104.6009633911
C,15,B299,1,56.6005216843,180.1690327083,163.3973664396,62.6511358836
C,15,B299,2,87.8561362326,190.0581724031,172.982743058,78.2571082449
C,16,B299,1,83.2867633209,185.3094480096,160.3377118219,72.9653313948
C,16,B299,2,66.0790805452,196.3121806598,166.3119914212,87.4539203936
C,17,B299,1,56.6545952073,187.7838304437,169.4489053776,69.6011791067
C,17,B299,2,60.4444449034,200.4721068505,186.0369151228,88.0145799224
C,18,B299,1,26.4079067993,177.1872333764,149.1669210598,60.5223278932
C,18,B299,2,86.8947238451,211.074335199,203.6492108866,110.9470441279
C,19,B299,1,66.547413337,192.6997428338,165.9251552405,67.0207457818
C,19,B299,2,72.6086188483,203.7915953822,175.1858188248,79.5858648303
D,0,HL284,1,104.378741404,196.4293067845,179.1198188402,76.9783526032
D,0,HL284,2,134.5252158573,205.5531372519,184.2864592212,83.7270536641
D,1,HL284,1,165.2824093804,188.4954654751,165.723870471,60.6595793021
D,1,HL284,2,157.3808728504,199.1139767275,177.3249728311,66.5310122724
D,2,HL284,1,141.6315389842,196.5891817493,178.3243708736,74.9257266511
D,2,HL284,2,166.7375118666,207.4001376118,195.6394007631,85.8204478639
D,3,HL284,1,114.0396520097,195.7024070822,174.8273522095,74.4422281972
D,3,HL284,2,129.6265671844,208.0096790298,185.6711948207,80.4243715073
D,4,HL284,1,135.5644967752,204.9601272355,200.3620434696,96.7618031701
D,4,HL284,2,138.4114294285,207.8710156845,189.0491508929,84.2793641693
D,5,HL284,1,140.4685584692,193.3871720203,177.5487623689,69.3218955219
D,5,HL284,2,136.0810970225,205.4668793913,189.2967201546,89.5847191115
D,6,HL284,1,122.7595428777,192.4898037184,176.058162546,73.0631991099
D,6,HL284,2,120.7057231729,205.1551023935,198.4004493217,98.7148535384
D,7,HL284,1,126.9595686888,196.9958202631,175.3835914533,68.6358537667
D,7,HL284,2,140.5342908881,207.4057674184,190.5505539601,90.2039894031
D,8,HL284,1,149.5142219069,195.8136623,177.9269590815,73.1172309882
D,8,HL284,2,153.5004008838,206.0947248236,193.4067703307,83.8390398391
D,9,HL284,1,168.8906621468,200.484406277,188.2572037563,85.5540528852
D,9,HL284,2,147.3052274658,211.9983432573,202.0996877677,104.7366982675
D,10,HL284,1,78.8057407087,188.5211193172,174.0986272774,76.9476674286
D,10,HL284,2,75.6719132676,197.3145497298,176.7480989508,85.3651114503
D,11,HL284,1,52.2259436137,194.0933725951,192.3032967908,98.284156702
D,11,HL284,2,79.8856786444,204.6921773584,199.5762453406,94.9035920027
D,12,HL284,1,87.3311356505,188.5729798672,178.9628693693,77.1483437236
D,12,HL284,2,69.5846091417,198.2684876649,187.502024715,79.2399175171
D,13,HL284,1,86.5621978141,178.4323088952,175.6038371324,75.3227641787
D,13,HL284,2,52.7296768947,190.8258267717,192.4119291339,87.8259251969
D,14,HL284,1,64.992356732,186.1566218871,175.8795105666,75.3352714726
