,hmotnost (g),šířka (mm),šířka (mm),výška (mm),čas
A01,224.68,79.07,80.04,68.70,10:49
A02,286.07,88.50,89.21,72.91,10:53
A03,240.94,85.33,82.31,69.17,10:58
A04,223.60,80.28,79.72,69.72,11:01
A05,248.35,82.19,83.12,73.99,11:03
A06,284.93,87.58,89.36,71.42,11:06
A07,246.11,84.11,81.59,75.52,11:08
A08,249.02,85.34,81.31,71.19,11:10
A09,227.88,81.78,79.91,70.64,11:12
A10,223.66,81.58,80.70,65.98,11:15
A11,262.00,86.27,81.33,70.31,11:19
A12,175.04,77.49,72.59,64.53,11:23
A13,243.83,85.18,83.28,70.21,11:27
A14,205.45,78.62,75.68,70.16,11:31
A15,175.59,76.25,72.62,63.92,11:36
A16,211.89,79.74,76.29,68.48,11:40
A17,203.86,77.13,77.20,70.41,11:42
A18,216.45,81.62,74.71,69.10,11:46
A19,210.66,82.35,74.61,65.39,11:49
A20,189.21,76.75,73.68,63.83,11:51
B01,193.18,82.87,81.33,67.55,11:56
B02,196.35,84.69,76.14,69.78,12:01
B03,197.15,85.84,78.73,67.82,12:04
B04,193.10,83.01,76.42,71.58,12:07
B05,158.23,77.35,75.41,62.92,12:10
B06,143.75,75.33,70.46,64.01,12:13
B07,141.43,73.22,70.94,62.76,12:16
B08,148.82,76.07,73.39,62.02,12:18
B09,184.20,81.93,78.01,67.42,12:22
B10,144.10,72.61,74.80,64.14,12:26
B11,173.69,78.58,78.99,65.78,12:27
B12,160.52,75.93,75.81,63.53,12:30
B13,167.08,76.67,76.13,68.59,12:33
B14,174.34,80.33,74.36,68.15,12:39
B15,179.03,81.07,77.80,67.82,12:40
B16,142.00,70.14,68.42,64.45,12:44
B17,132.36,69.40,72.14,56.01,12:46
B18,127.53,70.71,66.56,61.83,12:49
B19,135.87,70.68,70.89,62.00,12:51
B20,135.01,70.32,72.61,59.88,12:54
C01,145.72,70.19,67.43,63.85,13:30
C02,150.64,68.97,66.44,64.61,13:36
C03,145.38,66.53,71.11,64.55,13:39
C04,144.90,69.51,66.20,63.68,13:41
C05,140.85,68.85,67.31,62.22,13:43
C06,168.19,71.05,67.74,67.07,13:45
C07,165.32,74.28,69.31,63.77,13:47
C08,173.16,72.60,70.89,70.43,13:49
C09,161.99,71.18,71.79,62.03,13:51
C10,162.93,71.14,67.33,67.96,13:53
C11,146.80,68.45,67.15,64.77,13:56
C12,228.75,81.86,79.16,79.20,13:58
C13,222.13,82.35,79.52,72.68,14:01
C14,140.60,66.71,65.04,66.04,14:04
C15,185.16,74.53,71.63,75.81,14:07
C16,152.30,68.60,65.24,70.37,14:09
C17,177.51,74.43,71.50,68.52,14:13
C18,166.32,68.39,69.97,71.93,14:15
C19,163.89,67.02,70.40,69.14,14:18
C20,149.42,69.53,65.66,67.78,14:20
D01,163.68,72.77,70.76,64.30,9:03
D02,143.25,69.61,67.23,62.32,9:08
D03,162.21,72.42,71.48,65.46,9:10
D04,178.00,76.04,68.48,66.96,9:12
D05,127.65,66.05,66.70,55.72,9:14
D06,157.50,72.33,68.42,62.86,9:16
D07,148.34,70.08,69.44,57.87,9:18
D08,163.24,71.26,71.87,62.39,9:25
D09,150.28,72.03,68.12,64.45,9:33
D10,142.94,70.64,64.62,65.92,9:35
D11,170.20,74.29,73.13,63.41,9:37
D12,172.88,73.33,70.59,67.17,9:48
D13,168.69,71.71,72.66,69.85,9:50
D14,178.30,76.02,73.37,61.72,9:52
D15,166.92,71.52,71.42,68.92,9:54
D16,159.80,70.63,67.65,64.72,9:57
D17,153.15,71.25,72.34,63.63,10:09
D18,150.67,70.02,70.80,59.05,10:11
D19,145.44,70.99,68.39,63.01,10:12
D20,174.11,73.80,71.89,65.29,10:14
E01,184.57,78.01,81.72,59.02,10:17
E02,217.86,83.80,83.82,73.86,10:24
E03,160.91,74.59,74.35,62.29,10:26
E04,201.28,82.72,82.72,68.74,10:29
E05,207.34,80.77,83.24,65.69,10:31
E06,228.78,85.81,79.70,71.67,10:36
E07,209.67,82.16,84.87,63.43,10:38
E08,196.55,84.81,77.02,66.11,10:40
E09,208.65,82.91,77.80,67.31,10:42
E10,191.24,79.90,77.24,65.18,10:44
E11,235.87,86.21,87.04,64.20,10:46
E12,209.14,84.01,77.96,66.88,10:48
E13,214.43,85.51,79.06,66.60,10:50
E14,189.60,82.40,77.94,62.35,10:51
E15,215.25,84.74,80.23,68.20,10:53
E16,217.39,87.14,80.16,70.48,10:54
E17,166.45,74.47,77.42,60.26,10:56
E18,185.40,84.70,73.70,57.21,10:58
E19,230.24,87.88,83.92,72.93,11:01
E20,182.14,84.93,72.53,62.21,11:02
F01,249.77,85.41,84.85,72.77,11:07
F02,222.48,82.80,80.59,69.22,11:09
F03,210.64,82.40,80.35,65.12,11:11
F04,244.34,84.40,81.05,76.65,11:15
F05,201.97,78.80,78.38,69.57,11:17
F06,243.39,82.86,84.69,69.54,11:19
F07,229.50,82.42,80.79,68.65,11:22
F08,198.81,80.22,76.35,68.81,11:24
F09,230.41,80.78,81.11,73.02,11:26
F10,208.13,85.36,80.20,66.63,11:28
F11,230.51,82.01,79.96,71.89,11:30
F12,254.40,86.63,86.41,72.98,11:36
F13,224.04,81.72,82.27,68.41,11:37
F14,249.71,87.03,86.53,70.38,11:39
F15,185.62,79.42,73.44,63.64,11:42
F16,244.33,83.92,84.36,77.32,11:43
F17,228.16,79.71,80.73,72.09,11:47
F18,219.35,85.04,78.08,73.42,11:49
F19,221.38,82.23,80.71,69.95,11:51
F20,207.79,80.04,77.24,69.06,11:53
G01,171.92,72.76,71.95,67.63,11:57
G02,144.45,69.80,63.92,62.74,12:00
G03,168.77,73.60,72.11,67.96,12:01
G04,153.03,72.70,69.96,63.50,12:04
G05,179.26,73.88,77.50,61.78,12:06
G06,149.83,69.41,69.91,63.54,12:08
G07,238.35,81.66,79.88,79.51,12:10
G08,224.49,80.33,75.44,72.70,12:13
G09,179.74,72.70,76.18,65.40,12:14
G10,178.33,76.42,72.44,67.56,12:16
G11,222.61,80.41,78.65,72.92,12:18
G12,179.95,74.30,73.26,66.76,12:21
G13,222.64,81.66,75.66,78.08,12:23
G14,179.69,76.66,70.44,64.97,12:26
G15,150.85,70.94,65.64,66.08,12:29
G16,175.27,74.40,74.21,65.30,12:31
G17,162.60,71.40,69.01,66.67,12:34
G18,133.80,64.50,66.92,61.84,12:36
G19,145.17,67.24,67.93,62.70,12:39
G20,222.93,79.53,81.45,76.17,12:42
H01,187.27,80.56,79.70,60.29,13:17
H02,169.94,76.98,72.69,59.31,13:19
H03,200.66,84.05,73.62,66.67,13:21
H04,213.93,82.53,78.50,67.35,13:23
H05,202.96,82.67,78.87,61.23,13:25
H06,173.69,77.17,76.58,63.10,13:29
H07,193.33,79.86,82.12,58.98,13:33
H08,265.28,88.21,88.56,66.90,13:35
H09,193.59,82.35,77.18,60.89,13:38
H10,197.32,79.85,80.27,61.82,13:40
H11,221.02,89.81,84.20,60.54,13:43
H12,204.09,83.91,82.67,60.63,13:46
H13,221.25,84.42,85.91,62.99,13:50
H14,207.77,85.16,78.29,65.27,13:52
H15,213.87,85.66,80.73,63.25,13:55
H16,222.83,84.32,83.50,61.55,13:58
H17,230.80,87.43,83.00,61.07,14:01
H18,221.11,87.20,82.94,62.88,14:03
H19,185.89,82.65,75.40,58.71,14:05
H20,209.34,82.02,83.45,62.78,14:07
I01,266.00,88.00,86.00,69.00,9:12
I02,238.00,83.00,79.00,69.00,9:15
I03,174.00,72.36,74.47,62.81,9:18
I04,237.66,80.31,75.91,80.02,9:21
I05,241.49,84.21,81.68,67.96,9:23
I06,241.18,87.24,80.98,75.78,9:27
I07,179.60,76.62,72.73,65.01,9:30
