Label,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
A01,224.68,79.07,80.04,68.7,0.301,0.25479344813438093,0.3011008487793618,0.21555300871227417,0.24383819631328554
A02,286.07,88.5,89.21,72.91,0.301,0.1884748481179539,0.20970580959366245,0.1392327849791183,0.16992839642090465
A03,240.94,85.33,82.31,69.17,0.301,0.1442278444442993,0.1944790150849203,0.11026831532961284,0.15192494587793098
A04,223.6,80.28,79.72,69.72,0.301,0.18671827884709322,0.2585686630397972,0.27368415719756684,0.3548456198128659
A05,248.35,82.19,83.12,73.99,0.301,0.25232192399677245,0.3323140856167728,0.26106131648942393,0.29179840567762233
A06,284.93,87.58,89.36,71.42,0.301,0.21326762934290006,0.25361546701747406,0.2305674731249728,0.3023780962743914
A07,246.11,84.11,81.59,75.52,0.301,0.23294085752084678,0.2839724277795483,0.24497229902002443,0.2865706747023119
A08,249.02,85.34,81.31,71.19,0.301,0.17487415153653166,0.25115497301944784,0.2597688241639706,0.3394384754266024
A09,227.88,81.78,79.91,70.64,0.301,0.2064784189416239,0.248705247237843,0.2597688241639706,0.34350095284945664
A10,223.66,81.58,80.7,65.98,0.301,0.19192508535282635,0.2165594562661777,0.20519281607831763,0.22949795734834094
A11,262.0,86.27,81.33,70.31,0.119,0.26195604108022114,0.28303149665373734,0.21835692353963707,0.24166461746428036
A12,175.04,77.49,72.59,64.53,0.119,0.2809750651283901,0.28734021373338126,0.22393762983756546,0.26195604108022114
A13,243.83,85.18,83.28,70.21,0.119,0.23563571279820641,0.2537451007907685,0.23563571279820641,0.24968677569126596
A14,205.45,78.62,75.68,70.16,0.119,0.27244707975674815,0.26195604108022114,0.30488574228102594,0.3275133423570122
A15,175.59,76.25,72.62,63.92,0.119,0.2809750651283901,0.27244707975674815,0.3028441965425963,0.37310937417089457
A16,211.89,79.74,76.29,68.48,0.119,0.2598915324741451,0.28303149665373734,0.294002618657958,0.341458779269087
A17,203.86,77.13,77.2,70.41,0.119,0.2896287485078018,0.31836985568931364,0.2896287485078018,0.32090145461361413
A18,216.45,81.62,74.71,69.1,0.119,0.2984077827299773,0.3321311730158082,0.2745075617181131,0.296050932778998
A19,210.66,82.35,74.61,65.39,0.119,0.2221622727046771,0.18906188806031787,0.25167927784236516,0.24968677569126596
A20,189.21,76.75,73.68,63.83,0.119,0.276695338690604,0.31181059509794457,0.31836985568931364,0.37017378933516487
