Label,Variety,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
A01,B231,224.68,79.07,80.04,68.7,0.301,0.2547934481,0.3011008488,0.2155530087,0.2438381963
A02,B231,286.07,88.5,89.21,72.91,0.301,0.1884748481,0.2097058096,0.139232785,0.1699283964
A03,B231,240.94,85.33,82.31,69.17,0.301,0.1442278444,0.1944790151,0.1102683153,0.1519249459
A04,B231,223.6,80.28,79.72,69.72,0.301,0.1867182788,0.258568663,0.2736841572,0.3548456198
A05,B231,248.35,82.19,83.12,73.99,0.301,0.252321924,0.3323140856,0.2610613165,0.2917984057
A06,B231,284.93,87.58,89.36,71.42,0.301,0.2132676293,0.253615467,0.2305674731,0.3023780963
A07,B231,246.11,84.11,81.59,75.52,0.301,0.2329408575,0.2839724278,0.244972299,0.2865706747
A08,B231,249.02,85.34,81.31,71.19,0.301,0.1748741515,0.251154973,0.2597688242,0.3394384754
A09,B231,227.88,81.78,79.91,70.64,0.301,0.2064784189,0.2487052472,0.2597688242,0.3435009528
A10,B231,223.66,81.58,80.7,65.98,0.301,0.1919250854,0.2165594563,0.2051928161,0.2294979573
A11,B231,262,86.27,81.33,70.31,0.119,0.2619560411,0.2830314967,0.2183569235,0.2416646175
A12,B231,175.04,77.49,72.59,64.53,0.119,0.2809750651,0.2873402137,0.2239376298,0.2619560411
A13,B231,243.83,85.18,83.28,70.21,0.119,0.2356357128,0.2537451008,0.2356357128,0.2496867757
A14,B231,205.45,78.62,75.68,70.16,0.119,0.2724470798,0.2619560411,0.3048857423,0.3275133424
A15,B231,175.59,76.25,72.62,63.92,0.119,0.2809750651,0.2724470798,0.3028441965,0.3731093742
A16,B231,211.89,79.74,76.29,68.48,0.119,0.2598915325,0.2830314967,0.2940026187,0.3414587793
A17,B231,203.86,77.13,77.2,70.41,0.119,0.2896287485,0.3183698557,0.2896287485,0.3209014546
A18,B231,216.45,81.62,74.71,69.1,0.119,0.2984077827,0.332131173,0.2745075617,0.2960509328
A19,B231,210.66,82.35,74.61,65.39,0.119,0.2221622727,0.1890618881,0.2516792778,0.2496867757
A20,B231,189.21,76.75,73.68,63.83,0.119,0.2766953387,0.3118105951,0.3183698557,0.3701737893
B01,HL 15A/98,193.18,82.87,81.33,67.55,0.301,0.2673123391,0.3323140856,0.2597688242,0.337887684
B02,HL 15A/98,196.35,84.69,76.14,69.78,0.301,0.2353252413,0.3295422313,0.2800977426,0.3721545942
B03,HL 15A/98,197.15,85.84,78.73,67.82,0.301,0.252321924,0.3435009528,0.2282051115,0.2686032049
B04,HL 15A/98,193.1,83.01,76.42,71.58,0.301,0.2800977426,0.3391368562,0.2813846272,0.3704663738
B05,HL 15A/98,158.23,77.35,75.41,62.92,0.301,0.2775194912,0.3519947563,0.2498612083,0.3323140856
B06,HL 15A/98,143.75,75.33,70.46,64.01,0.301,0.2474113252,0.3323140856,0.237720601,0.337887684
B07,HL 15A/98,141.43,73.22,70.94,62.76,0.301,0.2775194912,0.3663463065,0.2572757563,0.3605765729
B08,HL 15A/98,148.82,76.07,73.39,62.02,0.301,0.2474113252,0.3663463065,0.225853796,0.346322395
B09,HL 15A/98,184.2,81.93,78.01,67.42,0.301,0.240126913,0.3212867734,0.2597688242,0.3225484405
B10,HL 15A/98,144.1,72.61,74.8,64.14,0.301,0.2917984057,0.3809388161,0.2775194912,0.4078010944
B11,HL 15A/98,173.69,78.58,78.99,65.78,0.119,0.2809750651,0.3556793527,0.2916800402,0.3819260536
B12,HL 15A/98,160.52,75.93,75.81,63.53,0.119,0.2578348695,0.289384738,0.2960509328,0.405051829
B13,HL 15A/98,167.08,76.67,76.13,68.59,0.119,0.2960509328,0.3461684621,0.2960509328,0.3799882534
B14,HL 15A/98,174.34,80.33,74.36,68.15,0.119,0.2723455086,0.3295229434,0.2850785636,0.3819260536
B15,HL 15A/98,179.03,81.07,77.8,67.82,0.119,0.2850785636,0.3341355632,0.2681631193,0.3069174141
B16,HL 15A/98,142,70.14,68.42,64.45,0.119,0.3249407682,0.4120398905,0.2940026187,0.3849407913
B17,HL 15A/98,132.36,69.4,72.14,56.01,0.119,0.3113773614,0.3918448134,0.3249407682,0.4171628607
B18,HL 15A/98,127.53,70.71,66.56,61.83,0.119,0.2980895664,0.3918448134,0.3414587793,0.4204496328
B19,HL 15A/98,135.87,70.68,70.89,62,0.119,0.2766953387,0.405051829,0.2476207076,0.3770115405
B20,HL 15A/98,135.01,70.32,72.61,59.88,0.119,0.3113773614,0.3624480494,0.2850785636,0.3249407682
C01,B299,145.72,70.19,67.43,63.85,0.301,0.1430041983,0.2723946939,0.1833077117,0.2813846272
C02,B299,150.64,68.97,66.44,64.61,0.301,0.2029532175,0.2997177097,0.2353252413,0.3406893733
C03,B299,145.38,66.53,71.11,64.55,0.301,0.2188663569,0.3295422313,0.194107991,0.2944278385
C04,B299,144.9,69.51,66.2,63.68,0.301,0.1963022787,0.3050487487,0.1666257344,0.3050487487
C05,B299,140.85,68.85,67.31,62.22,0.301,0.1833077117,0.2931465092,0.1707267181,0.2762404667
C06,B299,168.19,71.05,67.74,67.07,0.301,0.1385790285,0.263564641,0.2178495054,0.3391368562
C07,B299,165.32,74.28,69.31,63.77,0.301,0.2698481986,0.3548456198,0.1919250854,0.258568663
C08,B299,173.16,72.6,70.89,70.43,0.301,0.2087303122,0.2930773131,0.1740568856,0.253615467
C09,B299,161.99,71.18,71.79,62.03,0.301,0.2698481986,0.3780012083,0.2142637164,0.3267803764
C10,B299,162.93,71.14,67.33,67.96,0.301,0.244972299,0.3158334921,0.2051928161,0.3519947563
C11,B299,146.8,68.45,67.15,64.77,0.119,0.3556793527,0.4082581215,0.2745075617,0.3624480494
C12,B299,228.75,81.86,79.16,79.2,0.119,0.1941533699,0.2221622727,0.2830314967,0.3069174141
C13,B299,222.13,82.35,79.52,72.68,0.119,0.2873402137,0.3158679325,0.3073118156,0.3441707145
C14,B299,140.6,66.71,65.04,66.04,0.119,0.3367796674,0.3949362326,0.332131173,0.4152871781
C15,B299,185.16,74.53,71.63,75.81,0.119,0.2578348695,0.3004528481,0.2980895664,0.3341355632
C16,B299,152.3,68.6,65.24,70.37,0.119,0.2937217532,0.3576537282,0.3721270033,0.4069465506
C17,B299,177.51,74.43,71.5,68.52,0.119,0.2787539318,0.3461684621,0.2916800402,0.3604804659
C18,B299,166.32,68.39,69.97,71.93,0.119,0.2661085746,0.3158679325,0.2745075617,0.2960509328
C19,B299,163.89,67.02,70.4,69.14,0.119,0.2537451008,0.2640117803,0.3414587793,0.3721270033
C20,B299,149.42,69.53,65.66,67.78,0.119,0.3093495713,0.3509086689,0.3367796674,0.3949362326
D01,HL284,163.68,72.77,70.76,64.3,0.301,0.2329408575,0.3158334921,0.2074436875,0.2610613165
D02,HL284,143.25,69.61,67.23,62.32,0.301,0.2039047444,0.3091481377,0.2353252413,0.3255187005
D03,HL284,162.21,72.42,71.48,65.46,0.301,0.2175728971,0.3091481377,0.2660180553,0.3536069953
D04,HL284,178,76.04,68.48,66.96,0.301,0.1854448752,0.2800977426,0.2211843957,0.2957875843
D05,HL284,127.65,66.05,66.7,55.72,0.301,0.2498612083,0.3651185641,0.2340285158,0.3622260553
D06,HL284,157.5,72.33,68.42,62.86,0.301,0.2198902709,0.3200212093,0.2282051115,0.3310565403
D07,HL284,148.34,70.08,69.44,57.87,0.301,0.2316444006,0.3227648978,0.2775194912,0.3282825904
D08,HL284,163.24,71.26,71.87,62.39,0.301,0.2329408575,0.3338405227,0.225853796,0.2839724278
D09,HL284,150.28,72.03,68.12,64.45,0.301,0.2762404667,0.3675699126,0.2498612083,0.3560801561
D10,HL284,142.94,70.64,64.62,65.92,0.301,0.2353252413,0.3738541576,0.1919250854,0.3240285481
D11,HL284,170.2,74.29,73.13,63.41,0.119,0.2239376298,0.2766953387,0.332131173,0.3701737893
D12,HL284,172.88,73.33,70.59,67.17,0.119,0.2984077827,0.3254934435,0.3118105951,0.3731093742
D13,HL284,168.69,71.71,72.66,69.85,0.119,0.334770309,0.4101545598,0.3138442906,0.3701737893
D14,HL284,178.3,76.02,73.37,61.72,0.119,0.2702924287,0.3004528481,0.3275133424,0.3999790364
D15,HL284,166.92,71.52,71.42,68.92,0.119,0.2034538574,0.2619560411,0.3048857423,0.2960509328
D16,HL284,159.8,70.63,67.65,64.72,0.119,0.3158679325,0.352889574,0.3701737893,0.3918448134
D17,HL284,153.15,71.25,72.34,63.63,0.119,0.3118105951,0.3254934435,0.3073118156,0.3138442906
D18,HL284,150.67,70.02,70.8,59.05,0.119,0.3275133424,0.3275133424,0.2787539318,0.3093495713
D19,HL284,145.44,70.99,68.39,63.01,0.119,0.332131173,0.405051829,0.3138442906,0.3899234676
D20,HL284,174.11,73.8,71.89,65.29,0.119,0.2896287485,0.3414587793,0.3048857423,0.3004528481
E01,Goldline,184.57,78.01,81.72,59.02,0.301,0.2329408575,0.2813846272,0.2224757608,0.3077296409
E02,Goldline,217.86,83.8,83.82,73.86,0.301,0.2142637164,0.2865706747,0.2474113252,0.3104207464
E03,Goldline,160.91,74.59,74.35,62.29,0.301,0.2498612083,0.3104207464,0.21197916,0.3091481377
E04,Goldline,201.28,82.72,82.72,68.74,0.301,0.258568663,0.341936254,0.2329408575,0.2711383949
E05,Goldline,207.34,80.77,83.24,65.69,0.301,0.2211843957,0.2891793425,0.1985079269,0.2788072985
E06,Goldline,228.78,85.81,79.7,71.67,0.301,0.1824519915,0.2762404667,0.1811820367,0.2610613165
E07,Goldline,209.67,82.16,84.87,63.43,0.301,0.194107991,0.2560867051,0.266078612,0.3577062347
E08,Goldline,196.55,84.81,77.02,66.11,0.301,0.2673123391,0.3577062347,0.225853796,0.3023780963
E09,Goldline,208.65,82.91,77.8,67.31,0.301,0.266078612,0.3532318791,0.2487052472,0.3143891405
E10,Goldline,191.24,79.9,77.24,65.18,0.301,0.2188663569,0.2788072985,0.2425441536,0.3050487487
E11,Goldline,235.87,86.21,87.04,64.2,0.119,0.2852862161,0.3254934435,0.2787539318,0.3069174141
E12,Goldline,209.14,84.01,77.96,66.88,0.119,0.2809750651,0.3254934435,0.2724470798,0.3048857423
E13,Goldline,214.43,85.51,79.06,66.6,0.119,0.2682303309,0.3249407682,0.2619560411,0.3387785822
E14,Goldline,189.6,82.4,77.94,62.35,0.119,0.3004528481,0.3394550927,0.320389083,0.3899234676
E15,Goldline,215.25,84.74,80.23,68.2,0.119,0.2619560411,0.320389083,0.2619560411,0.3341355632
E16,Goldline,217.39,87.14,80.16,70.48,0.119,0.2661085746,0.332131173,0.2830314967,0.3069174141
E17,Goldline,166.45,74.47,77.42,60.26,0.119,0.2916800402,0.3295229434,0.2702924287,0.3229262214
E18,Goldline,185.4,84.7,73.7,57.21,0.119,0.2578348695,0.334770309,0.3138442906,0.3556793527
E19,Goldline,230.24,87.88,83.92,72.93,0.119,0.2619560411,0.3183698557,0.2619560411,0.3138442906
E20,Goldline,182.14,84.93,72.53,62.21,0.119,0.2960509328,0.3556793527,0.2661085746,0.2916800402
F01,Red Spring,249.77,85.41,84.85,72.77,0.301,0.2074436875,0.251154973,0.1506895015,0.1618103552
F02,Red Spring,222.48,82.8,80.59,69.22,0.301,0.1519249459,0.2366189787,0.1487504132,0.220157097
F03,Red Spring,210.64,82.4,80.35,65.12,0.301,0.2007249138,0.2839724278,0.1506895015,0.224805474
F04,Red Spring,244.34,84.4,81.05,76.65,0.301,0.1367198098,0.2074436875,0.1811820367,0.2487052472
F05,Red Spring,201.97,78.8,78.38,69.57,0.301,0.2109933897,0.2499960026,0.2178495054,0.2891793425
F06,Red Spring,243.39,82.86,84.69,69.54,0.301,0.2064784189,0.2724251458,0.1719868687,0.24512914
F07,Red Spring,229.5,82.42,80.79,68.65,0.301,0.2318606815,0.266078612,0.2142637164,0.266078612
F08,Red Spring,198.81,80.22,76.35,68.81,0.301,0.1578211217,0.2944278385,0.199790065,0.2891793425
F09,Red Spring,230.41,80.78,81.11,73.02,0.301,0.2165594563,0.2839724278,0.1598099064,0.2155530087
F10,Red Spring,208.13,85.36,80.2,66.63,0.301,0.1975831285,0.3050487487,0.2316444006,0.2762404667
F11,Red Spring,230.51,82.01,79.96,71.89,0.119,0.2830314967,0.3461684621,0.2516792778,0.3073118156
F12,Red Spring,254.4,86.63,86.41,72.98,0.119,0.1982282127,0.2183569235,0.2578348695,0.2960509328
F13,Red Spring,224.04,81.72,82.27,68.41,0.119,0.2162988258,0.2280536492,0.2558024166,0.2517444729
F14,Red Spring,249.71,87.03,86.53,70.38,0.119,0.2558024166,0.2808032724,0.227805046,0.2578348695
F15,Red Spring,185.62,79.42,73.44,63.64,0.119,0.2437222622,0.2477177415,0.2960509328,0.3968489622
F16,Red Spring,244.33,83.92,84.36,77.32,0.119,0.2517444729,0.2787539318,0.2537451008,0.3138442906
F17,Red Spring,228.16,79.71,80.73,72.09,0.119,0.2578348695,0.2640117803,0.2578348695,0.3073118156
F18,Red Spring,219.35,85.04,78.08,73.42,0.119,0.2337687141,0.2395988849,0.2435938965,0.2619560411
F19,Red Spring,221.38,82.23,80.71,69.95,0.119,0.2766953387,0.3367796674,0.2723455086,0.3004528481
F20,Red Spring,207.79,80.04,77.24,69.06,0.119,0.2830314967,0.3275133424,0.2852862161,0.334770309
G01,B32,171.92,72.76,71.95,67.63,0.301,0.2051928161,0.2917984057,0.2074436875,0.2762404667
G02,B32,144.45,69.8,63.92,62.74,0.301,0.2425441536,0.3338405227,0.2412470157,0.3507535584
G03,B32,168.77,73.6,72.11,67.96,0.301,0.2084156748,0.3037729858,0.1884748481,0.2498612083
G04,B32,153.03,72.7,69.96,63.5,0.301,0.1769652359,0.3064554242,0.2061545508,0.2800977426
G05,B32,179.26,73.88,77.5,61.78,0.301,0.1769652359,0.2572757563,0.1963022787,0.3011008488
G06,B32,149.83,69.41,69.91,63.54,0.301,0.1919250854,0.2878956033,0.2051928161,0.3145642834
G07,B32,238.35,81.66,79.88,79.51,0.301,0.1811820367,0.2366189787,0.157316231,0.1854448752
G08,B32,224.49,80.33,75.44,72.7,0.301,0.157316231,0.240126913,0.1199121859,0.1691356183
G09,B32,179.74,72.7,76.18,65.4,0.301,0.2353252413,0.2878956033,0.146823154,0.2560867051
G10,B32,178.33,76.42,72.44,67.56,0.301,0.1736080678,0.2788072985,0.2029532175,0.2736841572
G11,B32,222.61,80.41,78.65,72.92,0.119,0.1961938406,0.1751833064,0.2960509328,0.3461684621
G12,B32,179.95,74.3,73.26,66.76,0.119,0.2640451345,0.2661085746,0.2724470798,0.2916800402
G13,B32,222.64,81.66,75.66,78.08,0.119,0.2377008641,0.2745075617,0.2745075617,0.2916800402
