	m [g]	h [mm]	d1 [mm]	d2 [mm]	V [g]	Odruda	Datum
A01	208.5	63	87	86.4		HL 593/97	04.10.2023
A02	166.6	55.1	79.5	79			
A03	207.4	66	85	82.2			
A04	175.2	62	79.4	77.6			
A05	178.8	64.3	78	78.8			
A06	145.4	56.9	74.4	75.8			
A07	188.5	61	85.2	80			
A08	218.8	69.7	86.6	85.6			
A09	178.6	58.3	81.4	80.7			
A10	186	61.3	84.7	78			
A11	235.8	73	85.8	83.6			
A12	200	59.5	85.7	87.3			
A13	197.9	64	81.3	79.7			
A14	182.6	67	78	77.6			
A15	151	60.5	75.6	74.6			
A16	163.5	59.1	74.6	80.9			
A17	171.4	61.2	78.3	75.4			
A18	219.7	68.6	85.5	82			
A19	215.2	66.8	89.7	85.3			
A20	209.8	59.1	86.8	86.3			
B01	203.9	69.3	79	77.1		B 68	04.10.2023
B02	186.7	57.1	79	75.9			
B03	178.6	57.6	72.3	76			
B04	159.5	58.1	72.3	76			
B05	180.4	59.6	74.8	75			
B06	167	58.6	74.6	72.6			
B07	195	62.3	74.5	74.3			
B08	163.4	61.6	70.8	72.2			
B09	202.5	69	73.5	75.3			
B10	164.2	60	75.9	74.8			
B11	220.4	63.6	83.6	74			
B12	183.8	61.4	71.4	76.8			
B13	181.8	63.5	73.8	75.2			
B14	200	67.2	75.7	73			
B15	160.1	57.4	68.7	76.3			
B16	163.8	53.9	73.5	73.2			
B17	153.7	62.8	66.7	68.9			
B18	173.8	62.6	71	73.5			
B19	205.5	63.7	77.4	78.6			
B20	181.8	65.4	76.8	74.5			
C01	203.7	65.2	79.8	79.9		HL 143	04.10.2023
C02	177	62	75.6	75			
C03	188.5	63.6	78.5	75.4			
C04	188.9	65.6	78.9	76.6			
C05	224.2	69.5	78.9	83			
C06	156.1	61.7	70	71			
C07	211	68	83.3	78.6			
C08	228.7	68.5	87.3	78.5			
C09	203.6	64.8	82.8	81.3			
C10	206.3	64.7	78.5	78.2			
C11	200.8	69.4	77.7	76.9			
C12	245.7	70.7	88.2	82.3			
C13	228.6	68.5	81.7	82.5			
C14	210.4	65.9	81	77.4			
C15	169.2	62.7	74	74.5			
C16	229.7	66.5	82.8	81.6			
