Label,variety,hmotnost (g),vyska (mm),sirka (mm),sirka (mm),Objem,Hustota,Ek,c11,c12,d. area (mm2),id,Fa,k_a,Fb,Fa/Fb,Ft,rear_slope
A01,HL593/97,208.5,63,87,86.4,,,0.119,0.166435903730873,0.249686775691266,50.1783693555915,,,,,,,
A02,HL593/97,166.6,55.1,79.5,79,,,0.119,0.190575281222105,0.178604699466839,61.0756496452439,,,,,,,
A03,HL593/97,207.4,66,85,82.2,,,0.119,0.216298825849708,0.24166461746428,31.8790466858119,,,,,,,
A04,HL593/97,175.2,62,79.4,77.6,,,0.119,0.247620707615811,0.272447079756748,61.031660579959,,,,,,,
A05,HL593/97,178.8,64.3,78,78.8,,,0.119,0.247620707615811,0.272447079756748,47.3465803561922,,,,,,,
A06,HL593/97,145.4,56.9,74.4,75.8,,,0.119,0.19619384056456,0.207131799928001,48.4135359432964,,,,,,,
A07,HL593/97,188.5,61,85.2,80,,,0.119,0.156578372779468,0.155332845918231,43.8612855123532,,,,,,,
A08,HL593/97,218.8,69.7,86.6,85.6,,,0.119,0.239598884866597,0.231704420038188,70.4093289830368,,,,,,,
A09,HL593/97,178.6,58.3,81.4,80.7,,,0.119,0.19619384056456,0.185544024841519,43.7308888865914,,,,,,,
A10,HL593/97,186,61.3,84.7,78,,,0.119,0.229868206294385,0.237700864149485,63.4832518631301,,,,,,,
A11,HL593/97,235.8,73,85.8,83.6,,,0.119,0.289628748507802,0.322926221369047,54.2025931053141,,,,,,,
A12,HL593/97,200,59.5,85.7,87.3,,,0.119,0.20140639716742,0.20508126297029,69.9539160199934,,,,,,,
A13,HL593/97,197.9,64,81.3,79.7,,,0.119,0.173170512670891,0.183516133101045,67.6372764472946,,,,,,,
A14,HL593/97,182.6,67,78,77.6,,,0.119,0.243593896495021,0.276695338690604,60.3494538086157,,,,,,,
A15,HL593/97,151,60.5,75.6,74.6,,,0.119,0.251679277842365,0.239598884866597,71.6360152395148,,,,,,,
A16,HL593/97,163.5,59.1,74.6,80.9,,,0.119,0.180035144478558,0.20140639716742,50.9776927564521,,,,,,,
A17,HL593/97,171.4,61.2,78.3,75.4,,,0.119,0.259891532474145,0.287340213733381,61.9817488764405,,,,,,,
A18,HL593/97,219.7,68.6,85.5,82,,,0.119,0.231704420038188,0.225999379681423,58.2680342824766,,,,,,,
A19,HL593/97,215.2,66.8,89.7,85.3,,,0.119,0.208788314525098,0.192611838407518,47.7118963410979,,,,,,,
A20,HL593/97,209.8,59.1,86.8,86.3,,,0.119,0.227805046015148,0.220102210293401,57.6593606753505,,,,,,,
